UniProt_AC,Gene,Matrisome_Division,Matrisome_Category
B4DSV9,ABI3BP,Core matrisome,ECM Glycoproteins
D3YTG3,ABI3BP,Core matrisome,ECM Glycoproteins
E9PPR9,ABI3BP,Core matrisome,ECM Glycoproteins
E9PRB5,ABI3BP,Core matrisome,ECM Glycoproteins
H0Y897,ABI3BP,Core matrisome,ECM Glycoproteins
H0YCG4,ABI3BP,Core matrisome,ECM Glycoproteins
H0YCP4,ABI3BP,Core matrisome,ECM Glycoproteins
H0YDN0,ABI3BP,Core matrisome,ECM Glycoproteins
H0YDW0,ABI3BP,Core matrisome,ECM Glycoproteins
H0YEA0,ABI3BP,Core matrisome,ECM Glycoproteins
H0YEL2,ABI3BP,Core matrisome,ECM Glycoproteins
H0YF18,ABI3BP,Core matrisome,ECM Glycoproteins
H0YF57,ABI3BP,Core matrisome,ECM Glycoproteins
H7C4H3,ABI3BP,Core matrisome,ECM Glycoproteins
H7C4N5,ABI3BP,Core matrisome,ECM Glycoproteins
H7C4S3,ABI3BP,Core matrisome,ECM Glycoproteins
H7C4T1,ABI3BP,Core matrisome,ECM Glycoproteins
H7C4X4,ABI3BP,Core matrisome,ECM Glycoproteins
H7C524,ABI3BP,Core matrisome,ECM Glycoproteins
H7C556,ABI3BP,Core matrisome,ECM Glycoproteins
H7C5S3,ABI3BP,Core matrisome,ECM Glycoproteins
Q5JPC9,ABI3BP,Core matrisome,ECM Glycoproteins
Q7Z7G0,ABI3BP,Core matrisome,ECM Glycoproteins
Q15848,ADIPOQ,Core matrisome,ECM Glycoproteins
C9JLQ8,AEBP1,Core matrisome,ECM Glycoproteins
H7C0W8,AEBP1,Core matrisome,ECM Glycoproteins
H7C1J5,AEBP1,Core matrisome,ECM Glycoproteins
H7C391,AEBP1,Core matrisome,ECM Glycoproteins
H7C3D7,AEBP1,Core matrisome,ECM Glycoproteins
H7C4B5,AEBP1,Core matrisome,ECM Glycoproteins
Q8IUX7,AEBP1,Core matrisome,ECM Glycoproteins
H0Y5U1,AGRN,Core matrisome,ECM Glycoproteins
O00468,AGRN,Core matrisome,ECM Glycoproteins
Q9NP70,AMBN,Core matrisome,ECM Glycoproteins
Q99217,AMELX,Core matrisome,ECM Glycoproteins
J3KPK5,AMELY,Core matrisome,ECM Glycoproteins
Q99218,AMELY,Core matrisome,ECM Glycoproteins
P02818,BGLAP,Core matrisome,ECM Glycoproteins
C9JY72,BMPER,Core matrisome,ECM Glycoproteins
F8WDG9,BMPER,Core matrisome,ECM Glycoproteins
G5E9K4,BMPER,Core matrisome,ECM Glycoproteins
Q8N8U9,BMPER,Core matrisome,ECM Glycoproteins
Q075Z2,BSPH1,Core matrisome,ECM Glycoproteins
Q5VXM1,CDCP2,Core matrisome,ECM Glycoproteins
O75339,CILP,Core matrisome,ECM Glycoproteins
K7EPJ4,CILP2,Core matrisome,ECM Glycoproteins
Q8IUL8,CILP2,Core matrisome,ECM Glycoproteins
E7EN67,COCH,Core matrisome,ECM Glycoproteins
G3V4C4,COCH,Core matrisome,ECM Glycoproteins
G3V5G6,COCH,Core matrisome,ECM Glycoproteins
G3V5V4,COCH,Core matrisome,ECM Glycoproteins
G3V5X3,COCH,Core matrisome,ECM Glycoproteins
H0YJJ0,COCH,Core matrisome,ECM Glycoproteins
H0YJW4,COCH,Core matrisome,ECM Glycoproteins
O43405,COCH,Core matrisome,ECM Glycoproteins
Q96IU6,COCH,Core matrisome,ECM Glycoproteins
C9JBB2,COLQ,Core matrisome,ECM Glycoproteins
F8WA67,COLQ,Core matrisome,ECM Glycoproteins
Q9Y215,COLQ,Core matrisome,ECM Glycoproteins
S4R408,COLQ,Core matrisome,ECM Glycoproteins
B4DKJ3,COMP,Core matrisome,ECM Glycoproteins
G3XAP6,COMP,Core matrisome,ECM Glycoproteins
P49747,COMP,Core matrisome,ECM Glycoproteins
F8WBY3,CRELD1,Core matrisome,ECM Glycoproteins
H7C2L3,CRELD1,Core matrisome,ECM Glycoproteins
Q96HD1,CRELD1,Core matrisome,ECM Glycoproteins
A6PWM2,CRELD2,Core matrisome,ECM Glycoproteins
Q6UXH1,CRELD2,Core matrisome,ECM Glycoproteins
H7C1Z0,CRIM1,Core matrisome,ECM Glycoproteins
H7C2T6,CRIM1,Core matrisome,ECM Glycoproteins
H7C458,CRIM1,Core matrisome,ECM Glycoproteins
Q9NZV1,CRIM1,Core matrisome,ECM Glycoproteins
B7Z8V9,CRISPLD1,Core matrisome,ECM Glycoproteins
E5RJS4,CRISPLD1,Core matrisome,ECM Glycoproteins
Q9H336,CRISPLD1,Core matrisome,ECM Glycoproteins
H3BS62,CRISPLD2,Core matrisome,ECM Glycoproteins
