UniProt_AC,Uniprot_ID,Gene,BM_Status
O00468,AGRIN_HUMAN,AGRN,Confirmed
Q5SVA1,AGRIN_HUMAN,AGRN,Confirmed
Q5SVA2,AGRIN_HUMAN,AGRN,Confirmed
Q60FE1,AGRIN_HUMAN,AGRN,Confirmed
Q7KYS8,AGRIN_HUMAN,AGRN,Confirmed
Q8N4J5,AGRIN_HUMAN,AGRN,Confirmed
Q96IC1,AGRIN_HUMAN,AGRN,Confirmed
Q9BTD4,AGRIN_HUMAN,AGRN,Confirmed
P03950,ANGI_HUMAN,ANG,Confirmed
Q05CV1,ANGI_HUMAN,ANG,Confirmed
Q53X86,ANGI_HUMAN,ANG,Confirmed
Q6P5T2,ANGI_HUMAN,ANG,Confirmed
Q8WXE7,ANGI_HUMAN,ANG,Confirmed
P21810,PGS1_HUMAN,BGN,Confirmed
D3DWU3,PGS1_HUMAN,BGN,Confirmed
P13247,PGS1_HUMAN,BGN,Confirmed
Q99715,COCA1_HUMAN,COL12A1,Confirmed
O43853,COCA1_HUMAN,COL12A1,Confirmed
Q15955,COCA1_HUMAN,COL12A1,Confirmed
Q5VYK1,COCA1_HUMAN,COL12A1,Confirmed
Q5VYK2,COCA1_HUMAN,COL12A1,Confirmed
Q71UR3,COCA1_HUMAN,COL12A1,Confirmed
Q99716,COCA1_HUMAN,COL12A1,Confirmed
Q05707,COEA1_HUMAN,COL14A1,Confirmed
B2RU07,COEA1_HUMAN,COL14A1,Confirmed
O00260,COEA1_HUMAN,COL14A1,Confirmed
O00261,COEA1_HUMAN,COL14A1,Confirmed
O00262,COEA1_HUMAN,COL14A1,Confirmed
Q05708,COEA1_HUMAN,COL14A1,Confirmed
Q5XJ18,COEA1_HUMAN,COL14A1,Confirmed
Q96C67,COEA1_HUMAN,COL14A1,Confirmed
Q9UDF6,COEA1_HUMAN,COL14A1,Confirmed
P39059,COFA1_HUMAN,COL15A1,Confirmed
Q5T6J4,COFA1_HUMAN,COL15A1,Confirmed
Q9UDC5,COFA1_HUMAN,COL15A1,Confirmed
Q9Y4W4,COFA1_HUMAN,COL15A1,Confirmed
P02458,CO2A1_HUMAN,COL2A1,Confirmed
A6NGA0,CO2A1_HUMAN,COL2A1,Confirmed
Q12985,CO2A1_HUMAN,COL2A1,Confirmed
Q14009,CO2A1_HUMAN,COL2A1,Confirmed
Q14044,CO2A1_HUMAN,COL2A1,Confirmed
Q14045,CO2A1_HUMAN,COL2A1,Confirmed
Q14046,CO2A1_HUMAN,COL2A1,Confirmed
Q14047,CO2A1_HUMAN,COL2A1,Confirmed
Q14056,CO2A1_HUMAN,COL2A1,Confirmed
Q14058,CO2A1_HUMAN,COL2A1,Confirmed
Q16672,CO2A1_HUMAN,COL2A1,Confirmed
Q1JQ82,CO2A1_HUMAN,COL2A1,Confirmed
Q2V4X7,CO2A1_HUMAN,COL2A1,Confirmed
Q6LBY1,CO2A1_HUMAN,COL2A1,Confirmed
Q6LBY2,CO2A1_HUMAN,COL2A1,Confirmed
Q6LBY3,CO2A1_HUMAN,COL2A1,Confirmed
Q96IT5,CO2A1_HUMAN,COL2A1,Confirmed
Q99227,CO2A1_HUMAN,COL2A1,Confirmed
Q9UE38,CO2A1_HUMAN,COL2A1,Confirmed
Q9UE39,CO2A1_HUMAN,COL2A1,Confirmed
Q9UE40,CO2A1_HUMAN,COL2A1,Confirmed
Q9UE41,CO2A1_HUMAN,COL2A1,Confirmed
Q9UE42,CO2A1_HUMAN,COL2A1,Confirmed
Q9UE43,CO2A1_HUMAN,COL2A1,Confirmed
P20908,CO5A1_HUMAN,COL5A1,Confirmed
A0A087WXW9,CO5A1_HUMAN,COL5A1,Confirmed
Q15094,CO5A1_HUMAN,COL5A1,Confirmed
Q5SUX4,CO5A1_HUMAN,COL5A1,Confirmed
P12109,CO6A1_HUMAN,COL6A1,Confirmed
O00117,CO6A1_HUMAN,COL6A1,Confirmed
O00118,CO6A1_HUMAN,COL6A1,Confirmed
Q14040,CO6A1_HUMAN,COL6A1,Confirmed
Q14041,CO6A1_HUMAN,COL6A1,Confirmed
Q16258,CO6A1_HUMAN,COL6A1,Confirmed
Q7Z645,CO6A1_HUMAN,COL6A1,Confirmed
Q9BSA8,CO6A1_HUMAN,COL6A1,Confirmed
P12110,CO6A2_HUMAN,COL6A2,Confirmed
Q13909,CO6A2_HUMAN,COL6A2,Confirmed
Q13910,CO6A2_HUMAN,COL6A2,Confirmed
Q13911,CO6A2_HUMAN,COL6A2,Confirmed
Q14048,CO6A2_HUMAN,COL6A2,Confirmed
Q14049,CO6A2_HUMAN,COL6A2,Confirmed
Q16259,CO6A2_HUMAN,COL6A2,Confirmed
Q16597,CO6A2_HUMAN,COL6A2,Confirmed
Q6P0Q1,CO6A2_HUMAN,COL6A2,Confirmed
Q9UML3,CO6A2_HUMAN,COL6A2,Confirmed
Q9Y4S8,CO6A2_HUMAN,COL6A2,Confirmed
P12111,CO6A3_HUMAN,COL6A3,Confirmed
A8MT30,CO6A3_HUMAN,COL6A3,Confirmed
B4E3U5,CO6A3_HUMAN,COL6A3,Confirmed
B7ZMJ7,CO6A3_HUMAN,COL6A3,Confirmed
E9PFQ6,CO6A3_HUMAN,COL6A3,Confirmed
E9PGQ9,CO6A3_HUMAN,COL6A3,Confirmed
Q16501,CO6A3_HUMAN,COL6A3,Confirmed
Q53QF4,CO6A3_HUMAN,COL6A3,Confirmed
Q53QF6,CO6A3_HUMAN,COL6A3,Confirmed
Q9Y215,COLQ_HUMAN,COLQ,Confirmed
B3KY09,COLQ_HUMAN,COLQ,Confirmed
Q6DK18,COLQ_HUMAN,COLQ,Confirmed
Q6YH18,COLQ_HUMAN,COLQ,Confirmed
Q6YH19,COLQ_HUMAN,COLQ,Confirmed
Q6YH20,COLQ_HUMAN,COLQ,Confirmed
Q6YH21,COLQ_HUMAN,COLQ,Confirmed
Q9NP18,COLQ_HUMAN,COLQ,Confirmed
Q9NP19,COLQ_HUMAN,COLQ,Confirmed
Q9NP20,COLQ_HUMAN,COLQ,Confirmed
Q9NP21,COLQ_HUMAN,COLQ,Confirmed
